(서울시)업종명,(서울시)코드명,top1 (공공데이터포털)업종명,top1 (공공데이터포털)코드명,top2 (공공데이터포털)업종명,top2 (공공데이터포털)코드명,top3 (공공데이터포털)업종명,top3 (공공데이터포털)코드명,판정방식,근거 소분류
핸드폰,CS300004,가전제품 및 정보 통신장비 소매업,G208,통신장비 수리업,S202,,,정확,핸드폰 소매업 / 핸드폰/통신장비 수리업
주류도매,CS300005,음료 소매업,G206,,,,,모델,주류 소매업
미곡판매,CS300006,식료품 소매업,G205,,,,,모델,곡물/곡분 소매업
육류판매,CS300007,식료품 소매업,G205,,,,,모델,정육점
수산물판매,CS300008,식료품 소매업,G205,,,,,정확,수산물 소매업
청과상,CS300009,식료품 소매업,G205,,,,,모델,채소/과일 소매업
반찬가게,CS300010,식료품 소매업,G205,,,,,모델,반찬/식료품 소매업
일반의류,CS300011,"섬유, 의복, 신발 및 가죽제품 소매업",G209,,,,,모델,남성 의류 소매업 / 여성 의류 소매업 / 기타 의류 소매업
한복점,CS300012,"섬유, 의복, 신발 및 가죽제품 소매업",G209,,,,,정확,한복 소매업
유아의류,CS300013,"섬유, 의복, 신발 및 가죽제품 소매업",G209,,,,,모델,유아용 의류 소매업
신발,CS300014,"섬유, 의복, 신발 및 가죽제품 소매업",G209,,,,,정확,신발 소매업
가방,CS300015,"섬유, 의복, 신발 및 가죽제품 소매업",G209,기타 개인 및 가정용품 수리업,S206,,,정확,가방 소매업 / 가죽/가방/신발 수선업
안경,CS300016,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",G216,,,,,모델,안경렌즈 소매업
시계및귀금속,CS300017,시계 및 귀금속 소매업,G217,,,,,모델,시계/귀금속 소매업
의약품,CS300018,"의약품, 의료용 기구, 화장품 및 방향제 소매업",G215,,,,,모델,약국
의료기기,CS300019,"의약품, 의료용 기구, 화장품 및 방향제 소매업",G215,,,,,정확,의료기기 소매업
서적,CS300020,"문화, 오락 및 여가 용품 소매업",G213,,,,,모델,서점
문구,CS300021,"문화, 오락 및 여가 용품 소매업",G213,,,,,정확,문구/회화용품 소매업
화장품,CS300022,"의약품, 의료용 기구, 화장품 및 방향제 소매업",G215,,,,,정확,화장품 소매업
미용재료,CS300023,"의약품, 의료용 기구, 화장품 및 방향제 소매업",G215,,,,,모델,화장품 소매업
운동/경기용품,CS300024,"문화, 오락 및 여가 용품 소매업",G213,,,,,모델,운동용품 소매업
자전거 및 기타운송장비,CS300025,"문화, 오락 및 여가 용품 소매업",G213,모터사이클 및 부품 소매업,G203,,,모델,자전거 소매업 / 모터사이클 및 부품 소매업
완구,CS300026,"문화, 오락 및 여가 용품 소매업",G213,,,,,모델,장난감 소매업
섬유제품,CS300027,"섬유, 의복, 신발 및 가죽제품 소매업",G209,,,,,정확,실/섬유제품 소매업
화초,CS300028,화초 및 식물 소매업,G219,,,,,모델,꽃집
애완동물,CS300029,애완용 동물 및 관련용품 소매업,G220,,,,,정확,애완동물/애완용품 소매업
중고가구,CS300030,중고 상품 소매업,G222,가구 소매업,G211,,,모델,중고 상품 소매업 / 가구 소매업
가구,CS300031,가구 소매업,G211,,,,,정확,가구 소매업
가전제품,CS300032,가전제품 및 정보 통신장비 소매업,G208,,,,,정확,가전제품 소매업
철물점,CS300033,"철물, 공구, 창호 및 건설자재 소매업",G210,,,,,정확,철물/공구 소매업
악기,CS300034,기타 생활용품 소매업,G212,,,,,정확,악기 소매업
인테리어,CS300035,전문 디자인업,M112,"철물, 공구, 창호 및 건설자재 소매업",G210,,,모델,인테리어 디자인업 / 벽지/장판/마루 소매업 / 철물/공구 소매업
조명용품,CS300036,기타 생활용품 소매업,G212,,,,,모델,전기용품/조명장치 소매업
중고차판매,CS300037,중고 상품 소매업,G222,,,,,모델,중고 상품 소매업
자동차부품,CS300038,자동차 부품 및 내장품 소매업,G202,,,,,정확,자동차 부품 소매업
모터사이클및부품,CS300039,모터사이클 및 부품 소매업,G203,,,,,정확,모터사이클 및 부품 소매업
재생용품 판매점,CS300040,중고 상품 소매업,G222,,,,,모델,중고 상품 소매업
예술품,CS300041,"예술품, 기념품 및 장식용품 소매업",G218,,,,,정확,예술품 소매업
주유소,CS300042,연료소매업,G214,,,,,정확,주유소
전자상거래업,CS300043,기타 상품 전문 소매업,G221,,,,,모델,그 외 기타 상품 전문 소매업
